"Chrom","Start","End","EnsID"
3,28965647,29077561,"ENSSSAG00000078246"
3,52814891,52815620,"ENSSSAG00000008219"
3,53658928,53673359,"ENSSSAG00000118646"
3,74172231,74181572,"ENSSSAG00000100684"
10,84273774,84277828,"ENSSSAG00000043366"
9,71163145,71278354,"ENSSSAG00000116023"
1,87677451,87687466,"ENSSSAG00000001515"
1,4842595,4859833,"ENSSSAG00000000080"
9,71171071,71174617,"ENSSSAG00000063346"
4,29933493,29968852,"ENSSSAG00000005502"
14,69994653,70026158,"ENSSSAG00000107512"
19,42315148,42327855,"ENSSSAG00000105330"
4,29941841,29973116,"ENSSSAG00000045602"
16,75677663,75680604,"ENSSSAG00000084476"
9,71214851,71218059,"ENSSSAG00000063350"
16,75680142,75684382,"ENSSSAG00000102898"
4,30171876,30211477,"ENSSSAG00000084245"
16,75710410,75721382,"ENSSSAG00000051660"
16,75733829,75747296,"ENSSSAG00000040822"
19,42331863,42369501,"ENSSSAG00000092692"
1,87688947,87700990,"ENSSSAG00000106651"
9,71249951,71295406,"ENSSSAG00000063381"
4,29423256,29434141,"ENSSSAG00000103400"
14,70024350,70119732,"ENSSSAG00000007518"
27,5435707,5478368,"ENSSSAG00000073642"
16,75753084,75758824,"ENSSSAG00000105529"
11,26895673,26903290,"ENSSSAG00000085053"
4,29441592,29474184,"ENSSSAG00000043249"
16,75758989,75783324,"ENSSSAG00000093185"
3,25326493,25330920,"ENSSSAG00000106680"
1,87700660,87704311,"ENSSSAG00000001523"
16,75782523,75791630,"ENSSSAG00000091496"
19,42325765,42333004,"ENSSSAG00000120288"
19,18849004,18854090,"ENSSSAG00000080921"
10,105142459,105144181,"ENSSSAG00000094798"
1,87714535,87719582,"ENSSSAG00000001526"
10,110701518,110713933,"ENSSSAG00000090580"
19,44221514,44223602,"ENSSSAG00000082738"
3,28779488,28836655,"ENSSSAG00000120440"
16,75829831,75853052,"ENSSSAG00000095963"
7,49724914,49737360,"ENSSSAG00000041775"
1,87758140,87762293,"ENSSSAG00000001531"
4,23589183,23618137,"ENSSSAG00000063695"
19,45036800,45442157,"ENSSSAG00000006850"
27,9276513,9279636,"ENSSSAG00000082226"
9,71298179,71310414,"ENSSSAG00000063443"
11,26905989,26962667,"ENSSSAG00000072187"
16,75955598,75958719,"ENSSSAG00000055937"
10,102337057,102364770,"ENSSSAG00000018622"
19,19718231,19820122,"ENSSSAG00000080981"
3,28843471,28851152,"ENSSSAG00000077312"
1,87763437,87771200,"ENSSSAG00000116975"
27,4341788,4392643,"ENSSSAG00000078517"
1,87795730,87812431,"ENSSSAG00000116752"
16,72088020,72164914,"ENSSSAG00000078811"
5,67402308,67420413,"ENSSSAG00000051448"
21,12235549,12236948,"ENSSSAG00000110667"
20,10765884,10768018,"ENSSSAG00000092916"
5,67408283,67417394,"ENSSSAG00000116513"
1,35310560,35370637,"ENSSSAG00000006332"
5,67423065,67424744,"ENSSSAG00000051461"
20,10817957,11151882,"ENSSSAG00000009561"
21,12261102,12261869,"ENSSSAG00000052788"
5,67432282,67447811,"ENSSSAG00000051520"
21,16524834,16574348,"ENSSSAG00000068084"
1,7763043,7827127,"ENSSSAG00000034886"
18,69426677,69467356,"ENSSSAG00000054522"
21,32774936,32790843,"ENSSSAG00000070516"
5,42598954,42628648,"ENSSSAG00000085929"
1,10786909,10827879,"ENSSSAG00000083678"
1,11865933,11882393,"ENSSSAG00000121324"
1,12426824,12436214,"ENSSSAG00000115196"
4,52149606,52152839,"ENSSSAG00000120627"
7,46656178,46665388,"ENSSSAG00000082984"
1,13569690,13581189,"ENSSSAG00000116213"
7,29047399,29049259,"ENSSSAG00000109471"
4,59287486,59338563,"ENSSSAG00000061477"
7,20711088,20723789,"ENSSSAG00000079580"
7,46665358,46690287,"ENSSSAG00000109968"
1,14427689,14449921,"ENSSSAG00000093357"
21,33733870,33739025,"ENSSSAG00000061425"
1,14572160,14614765,"ENSSSAG00000094726"
5,42612573,42616405,"ENSSSAG00000093198"
20,47736702,47749526,"ENSSSAG00000086796"
7,46690742,46691424,"ENSSSAG00000048867"
1,16906106,16911597,"ENSSSAG00000116026"
1,16912989,16918907,"ENSSSAG00000121966"
7,29213483,29301484,"ENSSSAG00000064682"
19,11619711,11654873,"ENSSSAG00000079355"
10,87901169,87997318,"ENSSSAG00000065167"
1,16915562,16918907,"ENSSSAG00000100233"
3,27284285,27285374,"ENSSSAG00000096011"
21,33523411,33537183,"ENSSSAG00000054167"
