"Chrom","Start","End","GeneSymbol"
1,100018462,100022235,"LOC106590973"
1,100032853,100080131,"LOC106590975"
1,10007641,10011089,"im:7136021"
1,100086839,100148346,"LOC106611131"
1,100220560,100273376,"LOC106611138"
1,100328033,100360911,"LOC106611120"
1,100335517,100335615,"trnav-uac_2"
1,100361510,100384286,"LOC106579580"
1,10046531,10253446,"mdga2a"
1,10051360,10051416,"LOC123726802"
1,1005250,1006398,"LOC123729543"
1,100654,119562,"LOC123729278"
1,100839636,101618148,"LOC106611148"
1,101674460,101675150,"LOC106611190"
1,102353128,102363030,"LOC106611219"
1,102365384,102370368,"LOC106611202"
1,102371027,102460434,"LOC106611227"
1,102435958,102436032,"trnae-uuc"
1,102499003,102500820,"LOC106611194"
1,102596589,102619131,"LOC123744811"
1,102795646,102839375,"LOC106611257"
1,102866753,102885625,"plcd"
1,102886874,102969022,"LOC106611248"
1,102987685,103008337,"LOC106613705"
1,103130775,103317889,"slc35f3b"
1,10321783,10327674,"lrr1"
1,10327973,10331640,"dnaaf2"
1,103320749,103330547,"LOC106613591"
1,103330749,103383052,"LOC106613610"
1,103337920,103342129,"LOC123724119"
1,103385419,103413019,"LOC123723785"
1,10339395,10344517,"LOC106611027"
1,103415532,103467636,"fam135a"
1,10344502,10355145,"pole2"
1,103480174,103512804,"col9a1b"
1,103513559,103765672,"LOC106595326"
1,10355273,10362187,"klhdc2"
1,10367400,10372653,"LOC106611066"
1,10376111,10383336,"LOC106611292"
1,103781608,103983761,"LOC106593427"
1,10383267,10386021,"LOC106611540"
1,10386233,10439803,"dync1h1"
1,10391804,10391875,"LOC123726815"
1,10395842,10395913,"LOC123726817"
1,10396311,10396382,"LOC123726818"
1,104006404,104376957,"LOC106577441"
1,10423060,10423196,"LOC123726825"
1,10440565,10486257,"LOC106611338"
1,104690828,104690902,"trnaa-ugc_11"
1,104716949,104720179,"LOC123723966"
1,104723613,104734719,"LOC123724361"
1,104738050,104738520,"LOC123724363"
1,104747938,104748549,"LOC123724362"
1,104916357,104916431,"trnaa-ugc_12"
1,104941059,104945694,"LOC106577442"
1,104952563,104966812,"LOC123727879"
1,104970161,104977225,"LOC123727884"
1,105112966,105123458,"LOC123724364"
1,105126355,105145005,"LOC106610970"
1,105168793,105175609,"LOC106577291"
1,10517525,10518990,"LOC106611653"
1,105177174,105229123,"LOC106583995"
1,105361217,105369495,"LOC123727910"
1,105454175,105467311,"LOC106566431"
1,105478771,105491747,"LOC123724360"
1,105513022,105530156,"LOC106560780"
1,105530008,105550042,"LOC106560778"
1,105565304,105774961,"LOC106562888"
1,105814279,105975257,"LOC106562873"
1,105897326,105919824,"LOC106562879"
1,105947762,105950732,"LOC123727997"
1,106027734,106045033,"LOC123724365"
1,106143471,106191202,"LOC123724366"
1,10617593,10625099,"LOC106611704"
1,106245424,106282892,"LOC123724367"
1,106296187,106307053,"LOC106592896"
1,106318353,106326926,"LOC106560905"
1,106348245,106355826,"LOC106577180"
1,106358632,106405390,"LOC106560913"
1,106411801,106473065,"abch1"
1,106474665,106481022,"LOC123724373"
1,106488035,106556862,"LOC106569858"
1,106562114,106563578,"LOC106569852"
1,106565086,106626423,"LOC106595143"
1,106628276,106638791,"LOC106593044"
1,106641796,106652702,"LOC123728066"
1,106744954,106887245,"LOC106593770"
1,106903166,106909635,"LOC106613750"
1,106915643,107316424,"ehbp1"
1,10695867,10779156,"LOC106611855"
1,107692029,107692604,"LOC123728121"
1,107790889,107791501,"LOC123728147"
1,107796385,107805506,"LOC123724380"
1,107807451,107819149,"LOC123724382"
1,107902669,107999655,"LOC106591913"
1,108008818,108119761,"LOC106584643"
1,108348952,108698750,"LOC106591361"
1,10848630,10887399,"LOC106612204"
1,108671100,108679158,"LOC106591086"
1,108873035,108881117,"LOC106592998"
1,10887386,10892320,"slc25a47b"
1,108884806,108941653,"cabcoco1"
1,10900558,10912585,"LOC106560243"
1,10955363,10959189,"LOC123741482"
1,10968559,11016751,"LOC106613427"
1,109856276,109955901,"reep3"
1,10988134,11012497,"LOC106613993"
1,109971471,110165916,"LOC106591006"
1,110175748,110183166,"LOC106613891"
1,1102214,1111560,"LOC123726723"
1,11022390,11041961,"LOC106613317"
1,110228912,110231725,"LOC100194495"
1,110235324,110237302,"LOC106613884"
1,110528675,110538223,"fbx37"
1,110539061,110540945,"LOC106577309"
1,110541881,110545693,"LOC106577308"
1,110553751,110575954,"LOC106560878"
1,110585144,110595052,"acod"
1,110603930,110618325,"djb12"
1,110619174,110621460,"LOC106592479"
1,110629107,110632629,"LOC106594499"
1,110632652,110660271,"LOC106592879"
1,110669965,110778251,"LOC106594841"
1,11077736,11170659,"LOC106613138"
1,110779938,110786486,"LOC106560851"
1,110786842,110792306,"LOC106560865"
1,110793420,110800147,"LOC106613763"
1,110800991,110804642,"LOC106613759"
1,110805890,110966902,"pald1a"
1,110982574,111082256,"LOC106613836"
1,110985486,110985559,"trnav-uac_3"
1,111374475,111390180,"LOC106593571"
1,111397355,111488674,"LOC106594977"
1,111540392,111550901,"LOC106593853"
1,111561343,111631259,"LOC106577378"
1,111647472,111665498,"LOC106594844"
1,111675431,111676755,"LOC106596561"
1,111698701,111717886,"LOC106595688"
1,11171043,11177443,"nipal3"
1,111738777,111757266,"LOC106560886"
1,111764262,111782561,"LOC106592262"
1,111792988,111797935,"LOC106592071"
1,111804395,111857797,"LOC106592070"
1,111865389,111867436,"LOC123724394"
1,111867444,111955662,"LOC106560892"
1,111958483,111966533,"LOC106614017"
1,111968400,111994395,"LOC106592990"
1,112002614,112002689,"trnat-ugu_5"
1,11217869,11234917,"LOC106613035"
1,112212450,112529627,"LOC106594748"
1,11254079,11353525,"LOC106612959"
1,113091928,113128121,"LOC106577336"
1,113128593,113132245,"LOC106613726"
1,113165547,113362531,"LOC106613918"
1,113520559,113532605,"LOC123725509"
1,11368986,11457040,"LOC106612640"
1,114098414,114100264,"LOC123728153"
1,114114104,114243635,"LOC106594265"
1,1142409,1143857,"noto"
1,114253554,114261288,"clrn3"
1,114353536,114355597,"LOC123724404"
1,114476167,115199871,"LOC106591860"
1,11482014,11540944,"LOC106612547"
1,115207388,115218894,"LOC106613953"
1,115223888,115235972,"LOC106613867"
1,115240689,115245614,"LOC123725514"
1,115252633,115396632,"LOC123724405"
1,115403597,115423903,"LOC106591983"
1,115423645,115434102,"bccip"
1,115434081,115446349,"LOC106613861"
1,11552438,11579069,"LOC106612499"
1,115535137,115540064,"LOC106595834"
1,115866138,115900585,"LOC106561165"
1,115914992,115923277,"LOC123728163"
1,115944675,116044581,"LOC106562767"
1,11612780,11614246,"LOC106609620"
1,11621678,11624440,"LOC106609420"
1,116319975,116419899,"LOC106613841"
1,11636543,11640933,"LOC106594724"
1,116443593,116451055,"LOC106560323"
1,116465863,116491623,"fa53b"
1,116516042,116540229,"LOC106592890"
1,116541381,116548603,"LOC106592891"
1,116556188,116576342,"LOC106608869"
1,11659319,11668898,"LOC106593413"
1,11683090,11687841,"LOC106609486"
1,116838617,116934743,"LOC123724407"
1,1172690,1197387,"LOC106593289"
1,117538081,117546030,"LOC106575478"
1,117554575,117555796,"LOC106575494"
1,117556923,117561358,"LOC106575477"
1,117566040,117587645,"LOC106575476"
1,117587715,117592821,"LOC106575474"
1,117605638,117612454,"LOC106575473"
1,117616044,117652029,"LOC106613909"
1,117806745,117920068,"LOC106592849"
1,117923827,118017501,"LOC106594024"
1,118018079,118069780,"LOC106590971"
1,118070234,118882661,"ryr2a"
1,118559373,118562291,"LOC123724415"
1,11921797,11936079,"LOC106560907"
1,119556517,119559406,"LOC106560356"
1,11956809,11972699,"LOC106560842"
1,119569885,119626178,"LOC106560310"
1,119724149,119884723,"LOC106592522"
1,11991130,11996898,"LOC106560797"
1,119968575,120094874,"LOC106560362"
1,12006449,12009499,"LOC123723731"
1,120130853,120161334,"LOC106560722"
1,120184633,120247731,"LOC106560709"
1,12022406,12029316,"ctl2b"
1,120259819,120269496,"LOC106560689"
1,120269921,120304220,"nup54"
1,120330400,120338017,"LOC106560419"
1,120371404,120460785,"LOC106560682"
1,12043666,12046802,"LOC106609693"
1,120514290,120514361,"trnad-guc"
1,120516725,120516796,"trnad-guc_1"
1,120517537,120517608,"trnad-guc_2"
1,120518349,120518420,"trnad-guc_3"
1,120519160,120519231,"trnad-guc_4"
1,120522408,120522479,"trnad-guc_5"
1,120540248,120540319,"trnad-guc_6"
1,120577227,120636694,"sec16a"
1,120636696,120662205,"LOC106560666"
1,120687988,120698781,"rpl28"
1,120715041,120717956,"LOC106560657"
1,120717821,120723415,"LOC106560645"
1,120738196,120746183,"pdcl"
1,120835199,120839726,"LOC106560613"
1,120842088,120847466,"pdxp"
1,120883224,120890471,"LOC106560605"
1,120894141,120907817,"LOC123724437"
1,120907593,120936439,"setd9"
1,120945032,120999919,"mier3a"
1,121012559,121179412,"LOC106560554"
1,121200975,121270865,"LOC106560538"
1,121407131,121773617,"col27a1a"
