"Chrom","Start","End","GeneSymbol"
1,141746,166462,"LOC115206205"
1,194975,204165,"enpp5"
1,206039,207342,"LOC115206603"
1,225155,293373,"LOC115206734"
1,333366,347118,"LOC115206910"
1,353697,388204,"LOC115207261"
1,813364,831206,"hadhb"
1,842215,873169,"gareml"
1,881553,909191,"rab10"
1,914003,948398,"kif3ca"
1,949851,993168,"LOC115207710"
1,1002941,1044170,"tmem214"
1,1012200,1013282,"LOC115207963"
1,1049231,1116547,"agbl5"
1,1322954,1327722,"ost4"
1,1337206,1370613,"LOC115147291"
1,1386416,1420324,"gnpat2"
1,1416030,1417272,"LOC115208419"
1,1445737,1464106,"fam228a"
1,1480311,1496172,"iyd"
1,1498925,1534200,"sec63"
1,1555413,1568320,"LOC115147297"
1,1662900,1680383,"LOC115147436"
1,2004516,2007650,"LOC115147526"
1,2217356,2234654,"LOC115147309"
1,2259779,2267932,"mtfr2"
1,2329789,2338748,"myb"
1,2342235,2342307,"trnaa-ugc"
1,2357945,2369058,"hbs1l"
1,2392016,2393904,"LOC115200654"
1,2396048,2426175,"aldh8a1"
1,2635723,2654510,"tbpl1"
1,2720728,2723264,"tcf21"
1,2856726,2990681,"eya4"
1,3000314,3004579,"rps12"
1,3003967,3004044,"LOC115147426"
1,3014998,3034188,"sh3bgrl2"
1,3170463,3184093,"LOC115147315"
1,3211181,3216508,"LOC115147325"
1,3229719,3251765,"LOC115149104"
1,3272480,3328464,"pinx1"
1,3341421,3346135,"LOC115149305"
1,3361825,3364646,"LOC115147334"
1,3384578,3384660,"trnal-cag"
1,3402172,3419540,"rp1l1b"
1,3436667,3464953,"blk"
1,3472677,3473713,"LOC115200718"
1,3498285,3566407,"LOC115149611"
1,3586616,3690388,"LOC115149722"
1,3698387,3753560,"LOC115149904"
1,3756633,3757092,"LOC115150139"
1,3756716,3759457,"LOC115150095"
1,3758316,3774851,"LOC115150026"
1,3781460,3783014,"LOC115150181"
1,3786198,3854304,"LOC115150232"
1,3855317,3858532,"LOC115150417"
1,3858792,3888240,"eif2b4"
1,3928865,3942667,"nme6"
1,4147707,4168850,"si:ch211-142k18.1"
1,4176128,4219535,"chrna2b"
1,4220846,4279515,"LOC115147339"
1,4227604,4233872,"LOC115150694"
1,4348324,4367865,"LOC115150730"
1,4473099,4490019,"zc3h14"
1,4493333,4498305,"LOC115151293"
