"Chrom","Start","End","EnsID"
1,64312980,64313097,"ENSSTUG00000000039"
1,64314320,64314438,"ENSSTUG00000000040"
1,64532486,64532604,"ENSSTUG00000000041"
1,64533788,64533906,"ENSSTUG00000000042"
1,64535092,64535210,"ENSSTUG00000000043"
1,64536392,64536510,"ENSSTUG00000000044"
1,64537693,64537811,"ENSSTUG00000000045"
1,64538995,64539103,"ENSSTUG00000000046"
1,64545489,64545607,"ENSSTUG00000000047"
3,66311606,66316831,"ENSSTUG00000000048"
3,74538089,74539408,"ENSSTUG00000000049"
1,72643549,72644472,"ENSSTUG00000000050"
1,59975930,59977987,"ENSSTUG00000000051"
2,18807367,18809025,"ENSSTUG00000000052"
3,43494520,43495650,"ENSSTUG00000000053"
4,3285409,3289443,"ENSSTUG00000000054"
1,22423277,22426310,"ENSSTUG00000000055"
4,26717261,26721066,"ENSSTUG00000000056"
1,72648493,72676591,"ENSSTUG00000000057"
1,59993646,60008322,"ENSSTUG00000000058"
5,48215508,48216954,"ENSSTUG00000000059"
3,43524393,43525394,"ENSSTUG00000000060"
3,33010534,33015168,"ENSSTUG00000000061"
1,194827,203991,"ENSSTUG00000000062"
3,72454113,72455934,"ENSSTUG00000000063"
3,26372602,26378081,"ENSSTUG00000000064"
1,224749,296350,"ENSSTUG00000000065"
4,7054404,7059449,"ENSSTUG00000000066"
3,26378540,26380432,"ENSSTUG00000000067"
1,293953,296457,"ENSSTUG00000000068"
1,297459,299004,"ENSSTUG00000000069"
1,353382,388181,"ENSSTUG00000000070"
3,60791145,60802237,"ENSSTUG00000000071"
1,812411,831272,"ENSSTUG00000000072"
1,12314802,12323663,"ENSSTUG00000000073"
4,3291482,3294031,"ENSSTUG00000000074"
6,19349994,19350891,"ENSSTUG00000000075"
1,12326327,12341193,"ENSSTUG00000000076"
4,26719188,26768230,"ENSSTUG00000000077"
1,55303647,55313559,"ENSSTUG00000000078"
1,12357144,12357308,"ENSSTUG00000000079"
1,67861819,67869093,"ENSSTUG00000000080"
1,12368066,12396335,"ENSSTUG00000000081"
4,26729939,26731580,"ENSSTUG00000000082"
1,12399129,12420911,"ENSSTUG00000000083"
2,5564145,5597325,"ENSSTUG00000000084"
2,18916940,18918049,"ENSSTUG00000000085"
5,8583548,8588367,"ENSSTUG00000000086"
2,5950087,6074826,"ENSSTUG00000000087"
1,67880213,67912609,"ENSSTUG00000000088"
1,12419037,12422545,"ENSSTUG00000000089"
5,48223362,48225206,"ENSSTUG00000000090"
1,60014070,60024077,"ENSSTUG00000000091"
1,60024251,60027164,"ENSSTUG00000000092"
2,6143804,6271210,"ENSSTUG00000000093"
1,60027242,60030549,"ENSSTUG00000000094"
3,9973674,9982740,"ENSSTUG00000000095"
1,60035889,60040380,"ENSSTUG00000000096"
3,4485723,4495758,"ENSSTUG00000000097"
1,12425984,12482795,"ENSSTUG00000000098"
2,44646806,44864317,"ENSSTUG00000000099"
3,4496677,4507116,"ENSSTUG00000000100"
1,22432711,22460165,"ENSSTUG00000000101"
3,9999225,10078112,"ENSSTUG00000000102"
2,58707183,58718374,"ENSSTUG00000000103"
3,43529348,43547489,"ENSSTUG00000000104"
3,43568014,43592361,"ENSSTUG00000000105"
3,4515692,4564379,"ENSSTUG00000000106"
3,72456201,72473113,"ENSSTUG00000000107"
3,43593545,43614743,"ENSSTUG00000000108"
1,60041394,60059852,"ENSSTUG00000000109"
3,14186705,14196375,"ENSSTUG00000000110"
3,43616864,43626632,"ENSSTUG00000000111"
3,72649928,72665288,"ENSSTUG00000000112"
3,10085571,10092602,"ENSSTUG00000000113"
3,33027496,33066258,"ENSSTUG00000000114"
2,44882462,44886062,"ENSSTUG00000000115"
3,10092793,10096272,"ENSSTUG00000000116"
3,72691191,72694332,"ENSSTUG00000000117"
2,45389664,45391661,"ENSSTUG00000000118"
4,7061154,7065055,"ENSSTUG00000000119"
2,45401803,45402925,"ENSSTUG00000000120"
3,33068973,33114487,"ENSSTUG00000000121"
2,45488003,45488828,"ENSSTUG00000000122"
3,10098200,10109256,"ENSSTUG00000000123"
3,14196739,14198414,"ENSSTUG00000000124"
3,72707851,72712015,"ENSSTUG00000000125"
2,45488990,45500198,"ENSSTUG00000000126"
3,14203712,14225282,"ENSSTUG00000000127"
3,33118661,33129279,"ENSSTUG00000000128"
